panel,scope,method,budget,tau_b,top_k_overlap,full_top_k_set_size,subset_top_k_set_size,pairwise_direction_agreement,calibrated_score_mae,repository_coverage,baseline_percentile
open-submission,all_systems,random,25,0.7429795307540301,0.40536198483597274,11.0,15.148,0.8099536912751678,0.06078907255188817,7.456,
open-submission,all_systems,repo_stratified_random,25,0.746285284640988,0.4066248459595615,11.0,15.164,0.8108067114093959,0.06018879834531625,8.0,
open-submission,all_systems,entropy,25,0.6286771432336926,0.2222222222222222,11,11,0.7335570469798658,0.08826227476064341,5,0.016
open-submission,all_systems,temporal_coreset,25,0.7600557112522935,0.3684210526315789,11,15,0.8312080536912752,0.06302651712340844,7,0.604
open-submission,all_systems,random,50,0.813747227760663,0.49765552256966644,11.0,12.738,0.8745375838926175,0.04186577166020006,9.116,
open-submission,all_systems,repo_stratified_random,50,0.8116386338006967,0.4940787100721776,11.0,12.732,0.8730791946308725,0.04140916995527725,10.0,
open-submission,all_systems,entropy,50,0.6955906413335474,0.30434782608695654,11,19,0.7909395973154363,0.07559938562754896,8,0.002
open-submission,all_systems,temporal_coreset,50,0.8200866228073347,0.5,11,10,0.8815436241610738,0.03195702696861637,9,0.538
open-submission,all_systems,random,75,0.8480551514215174,0.5511764644969753,11.0,11.924,0.902196644295302,0.03352576788794821,9.886,
open-submission,all_systems,repo_stratified_random,75,0.8469522629870168,0.5534514847744051,11.0,11.948,0.9014429530201342,0.032894452859203074,10.0,
open-submission,all_systems,entropy,75,0.7194499951716915,0.3333333333333333,11,13,0.8120805369127517,0.07331570812347567,9,0.0
open-submission,all_systems,temporal_coreset,75,0.8281784188364825,0.4666666666666667,11,11,0.8963087248322148,0.02965768448745962,10,0.19
open-submission,all_systems,random,100,0.8705725377783892,0.5961065008950458,11.0,11.402,0.9191536912751679,0.02777635037750181,10.28,
open-submission,all_systems,repo_stratified_random,100,0.8700938348272758,0.5912190792867263,11.0,11.468,0.9188389261744967,0.027554660880756497,10.0,
open-submission,all_systems,entropy,100,0.7748055255413545,0.5625,11,14,0.8630872483221477,0.07878768411151181,9,0.0
open-submission,all_systems,temporal_coreset,100,0.872334406560931,0.6923076923076923,11,11,0.9248322147651007,0.02735127398087891,10,0.546
open-submission,all_systems,random,125,0.8872830829230056,0.6327196968064616,11.0,11.208,0.9309154362416108,0.023843007338385232,10.518,
open-submission,all_systems,repo_stratified_random,125,0.8879473049166745,0.6293165703577469,11.0,11.184,0.9313127516778523,0.02352345565430733,10.0,
open-submission,all_systems,entropy,125,0.7343641136040022,0.2222222222222222,11,11,0.8406040268456376,0.07845162877235046,9,0.0
open-submission,all_systems,temporal_coreset,125,0.8977863600146484,0.6923076923076923,11,11,0.9375838926174497,0.027396633091882314,10,0.736
open-submission,all_systems,random,150,0.8996809805510632,0.6496033701592525,11.0,11.048,0.9393979865771812,0.02105644287007157,10.732,
open-submission,all_systems,repo_stratified_random,150,0.9015084888592892,0.6481013533851769,11.0,11.15,0.9404536912751678,0.02072998381352527,11.0,
open-submission,all_systems,entropy,150,0.740716268996199,0.29411764705882354,11,11,0.8533557046979866,0.07533398475679522,9,0.0
open-submission,all_systems,temporal_coreset,150,0.912463084638023,0.75,11,10,0.9476510067114094,0.02711076053292444,11,0.784
open-submission,all_systems,random,200,0.9192197348955534,0.6885325674325675,11.0,10.772,0.9522604026845637,0.016856260601954436,11.014,
open-submission,all_systems,repo_stratified_random,200,0.9200668925379317,0.6913264069264069,11.0,10.75,0.9526838926174497,0.01680068408284258,11.0,
open-submission,all_systems,entropy,200,0.7820513894603279,0.5,11,10,0.8785234899328859,0.06965675279327775,9,0.0
open-submission,all_systems,temporal_coreset,200,0.9359275937544975,0.75,11,10,0.964765100671141,0.032050687851956,11,0.92
open-submission,all_systems,random,250,0.9335215878317493,0.7152512311218194,11.0,10.652,0.9611852348993288,0.013878425868898673,11.228,
open-submission,all_systems,repo_stratified_random,250,0.9329531942680628,0.7172223183679066,11.0,10.734,0.9608093959731543,0.0138674829649627,11.0,
open-submission,all_systems,entropy,250,0.8539251566951513,0.5714285714285714,11,11,0.9191275167785234,0.05521587431696759,10,0.0
open-submission,all_systems,temporal_coreset,250,0.9465910080136964,0.75,11,10,0.9681208053691275,0.03479607001449138,11,0.918
open-submission,all_systems,random,300,0.9452653213764562,0.7383788544788544,11.0,10.612,0.9681791946308725,0.01115568651673263,11.434,
open-submission,all_systems,repo_stratified_random,300,0.945605866352211,0.7468992174492174,11.0,10.604,0.9684308724832215,0.011079081974622117,12.0,
open-submission,all_systems,entropy,300,0.8999724954566248,0.6923076923076923,11,11,0.9409395973154362,0.0411301979154684,11,0.0
open-submission,all_systems,temporal_coreset,300,0.9484641122180499,0.75,11,10,0.9704697986577181,0.032560912823847654,12,0.604
open-submission,all_systems,random,400,0.9664822449032748,0.7924256077256078,11.0,10.484,0.9802751677852349,0.006888207364589262,11.756,
open-submission,all_systems,repo_stratified_random,400,0.9672478430770258,0.797250715950716,11.0,10.518,0.9807093959731544,0.00676991798020468,12.0,
open-submission,all_systems,entropy,400,0.9626028385765282,0.75,11,10,0.9788590604026846,0.018227961890395973,12,0.2
open-submission,all_systems,temporal_coreset,400,0.968425080235446,0.6153846153846154,11,10,0.9798657718120806,0.013784501842975465,12,0.548
open-submission,all_systems,random,450,0.9789747728868419,0.8429593739593739,11.0,10.556,0.9870530201342281,0.00454434485811676,11.874,
open-submission,all_systems,repo_stratified_random,450,0.9782700898869428,0.8341352314352314,11.0,10.548,0.9866221476510066,0.004673492600850168,12.0,
open-submission,all_systems,entropy,450,0.9817207346736927,0.9090909090909091,11,10,0.9885906040268456,0.006846153846153866,12,0.774
open-submission,all_systems,temporal_coreset,450,0.979044769764441,0.9090909090909091,11,10,0.9875838926174496,0.005319043152473215,12,0.56
open-submission,all_systems,random,475,0.9867833325635822,0.8716425241425242,11.0,10.716,0.9913543624161074,0.0031443240700514507,11.932,
open-submission,all_systems,repo_stratified_random,475,0.9864913540152817,0.8820557775557776,11.0,10.66,0.9911308724832214,0.00315021659757278,12.0,
open-submission,all_systems,entropy,475,0.9891034489058566,0.9090909090909091,11,10,0.9929530201342281,0.003923076923076908,12,0.786
open-submission,all_systems,temporal_coreset,475,0.9899328859060402,0.9090909090909091,11,10,0.9919463087248322,0.0027424601087583256,12,0.848
open-submission,all_systems,random,500,1.0,1.0,11.0,11.0,1.0,0.0,12.0,
open-submission,all_systems,repo_stratified_random,500,1.0,1.0,11.0,11.0,1.0,0.0,12.0,
open-submission,all_systems,entropy,500,1.0,1.0,11,11,1.0,0.0,12,1.0
open-submission,all_systems,temporal_coreset,500,1.0,1.0,11,11,1.0,0.0,12,1.0
open-submission,cluster_latest,random,25,0.7691722349958993,0.5382683856271755,11.0,13.464,0.8286714060031595,0.057421186113734334,7.31,
open-submission,cluster_latest,repo_stratified_random,25,0.7707593663074539,0.5296079153242325,11.0,13.642,0.8286398104265403,0.056569662360420506,8.0,
open-submission,cluster_latest,entropy,25,0.6766561056540847,0.5,11,10,0.7796208530805687,0.06985259817215289,7,0.034
open-submission,cluster_latest,temporal_coreset,25,0.712256287901836,0.4090909090909091,11,20,0.7993680884676145,0.047691233088980274,6,0.102
open-submission,cluster_latest,random,50,0.8302325006725394,0.6291752461075216,11.0,11.986,0.8860774091627173,0.04034667550288577,9.12,
open-submission,cluster_latest,repo_stratified_random,50,0.8301324928889138,0.6242189648071227,11.0,11.842,0.8858072669826225,0.04023346602036856,10.0,
open-submission,cluster_latest,entropy,50,0.8015421294488552,0.5333333333333333,11,12,0.8759873617693523,0.05465041557522826,9,0.17
open-submission,cluster_latest,temporal_coreset,50,0.8472012029931948,0.5714285714285714,11,11,0.8894154818325435,0.04897720489356819,9,0.672
open-submission,cluster_latest,random,75,0.8625413832853177,0.6864787532728709,11.0,11.374,0.9119178515007899,0.03219206093110821,9.852,
open-submission,cluster_latest,repo_stratified_random,75,0.8632202856361778,0.6783527390909744,11.0,11.438,0.9120394944707741,0.032304790722561955,10.0,
open-submission,cluster_latest,entropy,75,0.7952778338415873,0.4666666666666667,11,11,0.8744075829383886,0.048196668209781655,9,0.008
open-submission,cluster_latest,temporal_coreset,75,0.8588910011522107,0.6428571428571429,11,12,0.9131121642969984,0.038124774963945444,10,0.406
open-submission,cluster_latest,random,100,0.8844268721027332,0.7328914658870541,11.0,11.01,0.9279225908372828,0.02717665340599815,10.27,
open-submission,cluster_latest,repo_stratified_random,100,0.8842161374310462,0.7280368592192121,11.0,10.952,0.9278515007898894,0.02721428966610315,10.0,
open-submission,cluster_latest,entropy,100,0.8107535651157861,0.6666666666666666,11,14,0.8870458135860979,0.051523671666161515,9,0.002
open-submission,cluster_latest,temporal_coreset,100,0.8986258107935113,0.9090909090909091,11,10,0.9249605055292259,0.041395091966921364,10,0.752
open-submission,cluster_latest,random,125,0.8990789701030413,0.751328653699242,11.0,10.698,0.9383064770932069,0.023712968672258937,10.556,
open-submission,cluster_latest,repo_stratified_random,125,0.8995166571704959,0.7515063603063603,11.0,10.76,0.9388436018957347,0.023081483015859182,10.0,
open-submission,cluster_latest,entropy,125,0.8337071898682367,0.75,11,10,0.8996840442338072,0.05385570766914308,9,0.0
open-submission,cluster_latest,temporal_coreset,125,0.909498752583531,0.7692307692307693,11,12,0.9375987361769352,0.043069292062848846,10,0.738
open-submission,cluster_latest,random,150,0.9106191567506086,0.7793537129537129,11.0,10.65,0.9461011058451817,0.020994710807824626,10.752,
open-submission,cluster_latest,repo_stratified_random,150,0.9115432638480547,0.7902311022311023,11.0,10.612,0.9466887835703002,0.02050909693299762,11.0,
